testId,BEs,BLs,LE,LL,tCD,tBD,PF-%,PF-min,PF-cant
c1000A,32588632.168544,0.000000,0.015711,0.000000,0.000000,0.000000,0.000000,0.000000,0
l1000A,0.000000,400312744.331509,0.000000,0.001279,0.000000,0.000000,0.000000,0.000000,0
rl1000A,0.000000,401883830.455259,0.000000,0.001274,0.000000,0.000000,0.000000,0.000000,0
c2000A2m,55038802.355661,0.000000,0.036338,0.000000,0.000000,0.000000,0.000000,0.000000,0
re2000A2m,484.710783,0.000000,0.021126,0.000000,0.000000,0.000000,0.000000,0.000000,0
lNSeq,0.000000,2884.507042,0.000000,0.003550,0.000000,0.000000,0.000000,0.000000,0
lNAleat,0.000000,496.653410,0.000000,0.020618,0.000000,0.000000,0.000000,0.000000,0
cNDir,0.000000,0.000000,0.000000,0.000000,0.000393,0.000000,0.000000,0.000000,0
bNDir,0.000000,0.000000,0.000000,0.000000,0.000393,0.001000,0.000000,0.000000,0
mFrag,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,98.986486,98.986486,1000
