testId,BEs,BLs,LE,LL,tCD,tBD,PF-%,PF-min,PF-cant
c1000A,27629377.799363,0.000000,0.018531,0.000000,0.000000,0.000000,0.000000,0.000000,0
l1000A,0.000000,390243902.439024,0.000000,0.001312,0.000000,0.000000,0.000000,0.000000,0
rl1000A,0.000000,384673178.061608,0.000000,0.001331,0.000000,0.000000,0.000000,0.000000,0
c2000A2m,45585084.560332,0.000000,0.043874,0.000000,0.000000,0.000000,0.000000,0.000000,0
re2000A2m,385.687382,0.000000,0.026550,0.000000,0.000000,0.000000,0.000000,0.000000,0
lNSeq,0.000000,465.708568,0.000000,0.021988,0.000000,0.000000,0.000000,0.000000,0
lNAleat,0.000000,452.696729,0.000000,0.022620,0.000000,0.000000,0.000000,0.000000,0
cNDir,0.000000,0.000000,0.000000,0.000000,0.000321,0.000000,0.000000,0.000000,0
bNDir,0.000000,0.000000,0.000000,0.000000,0.000321,0.001000,0.000000,0.000000,0
mFrag,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,98.986486,98.986486,1000
