testId,BEs,BLs,LE,LL,tCD,tBD,PF-%,PF-cant
c1000A,7446514.536702,0.000000,0.068757,0.000000,0.000000,0.000000,0.000000,0
l1000A,0.000000,64370128.237365,0.000000,0.007954,0.000000,0.000000,0.000000,0
rl1000A,0.000000,62822085.889571,0.000000,0.008150,0.000000,0.000000,0.000000,0
c2000A2m,7186799.287070,0.000000,0.278288,0.000000,0.000000,0.000000,0.000000,0
re2000A2m,189391.137087,0.000000,0.027034,0.000000,0.000000,0.000000,0.000000,0
lNSeq,0.000000,18231540.565178,0.000000,0.109700,0.000000,0.000000,0.000000,0
lNAleat,0.000000,365140.493510,0.000000,0.014022,0.000000,0.000000,0.000000,0
cNDir,0.000000,0.000000,0.000000,0.000000,0.003837,0.000000,0.000000,0
bNDir,0.000000,0.000000,0.000000,0.000000,0.000000,0.000395,0.000000,0
mFrag,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.153976,1000
