testId,BEs,BLs,LE,LL,tCD,tBD,PF-%,PF-cant
c1000A,6432968.965950,0.000000,0.079590,0.000000,0.000000,0.000000,0.000000,0
l1000A,0.000000,62309845.442376,0.000000,0.008217,0.000000,0.000000,0.000000,0
rl1000A,0.000000,62226543.509966,0.000000,0.008228,0.000000,0.000000,0.000000,0
c2000A2m,6099308.948296,0.000000,0.327906,0.000000,0.000000,0.000000,0.000000,0
re2000A2m,184212.419947,0.000000,0.027794,0.000000,0.000000,0.000000,0.000000,0
lNSeq,0.000000,17426460.337376,0.000000,0.114768,0.000000,0.000000,0.000000,0
lNAleat,0.000000,659963.908224,0.000000,0.007758,0.000000,0.000000,0.000000,0
cNDir,0.000000,0.000000,0.000000,0.000000,0.003546,0.000000,0.000000,0
bNDir,0.000000,0.000000,0.000000,0.000000,0.000000,0.000483,0.000000,0
mFrag,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.153976,1000
