"testId","BEs","BLs","LE","LL","tCD","tBD","PF-%","PF-cant"
"c1000A","12.066.933,7733","0,0000","0,0424","0,0000","0,0000","0,0000","0,0000","0,0000"
"l1000A","0,0000","62.968.884,5161","0,0000","0,0081","0,0000","0,0000","0,0000","0,0000"
"rl1000A","0,0000","62.568.740,0709","0,0000","0,0082","0,0000","0,0000","0,0000","0,0000"
"c2000A2m","12.338.824,1101","0,0000","0,1621","0,0000","0,0000","0,0000","0,0000","0,0000"
"re2000A2m","537.250,7870","0,0000","0,0095","0,0000","0,0000","0,0000","0,0000","0,0000"
"lNSeq","0,0000","38.848.529,5832","0,0000","0,0515","0,0000","0,0000","0,0000","0,0000"
"lNAleat","0,0000","688.542,2270","0,0000","0,0074","0,0000","0,0000","0,0000","0,0000"
"cNDir","0,0000","0,0000","0,0000","0,0000","0,0008","0,0000","0,0000","0,0000"
"bNDir","0,0000","0,0000","0,0000","0,0000","0,0000","0,0003","0,0000","0,0000"
"mFrag","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","98,9865","1.000,0000"
