testId,BEs,BLs,LE,LL,tCD,tBD,PF-%,PF-cant
c1000A,12066933.773274,0.000000,0.042430,0.000000,0.000000,0.000000,0.000000,0
l1000A,0.000000,62968884.516050,0.000000,0.008131,0.000000,0.000000,0.000000,0
rl1000A,0.000000,62568740.070879,0.000000,0.008183,0.000000,0.000000,0.000000,0
c2000A2m,12338824.110062,0.000000,0.162090,0.000000,0.000000,0.000000,0.000000,0
re2000A2m,537250.786988,0.000000,0.009530,0.000000,0.000000,0.000000,0.000000,0
lNSeq,0.000000,38848529.583155,0.000000,0.051482,0.000000,0.000000,0.000000,0
lNAleat,0.000000,688542.227004,0.000000,0.007436,0.000000,0.000000,0.000000,0
cNDir,0.000000,0.000000,0.000000,0.000000,0.000784,0.000000,0.000000,0
bNDir,0.000000,0.000000,0.000000,0.000000,0.000000,0.000306,0.000000,0
mFrag,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,98.986486,1000
