testId,BEs,BLs,LE,LL,tCD,tBD,PF-%,PF-cant
c1000A,9299622.202848,0.000000,0.055056,0.000000,0.000000,0.000000,0.000000,0
l1000A,0.000000,63342818.260547,0.000000,0.008083,0.000000,0.000000,0.000000,0
rl1000A,0.000000,62806673.209028,0.000000,0.008152,0.000000,0.000000,0.000000,0
c2000A2m,9670712.247957,0.000000,0.206810,0.000000,0.000000,0.000000,0.000000,0
re2000A2m,544564.986173,0.000000,0.009402,0.000000,0.000000,0.000000,0.000000,0
lNSeq,0.000000,33598763.565501,0.000000,0.059526,0.000000,0.000000,0.000000,0
lNAleat,0.000000,2031746.031746,0.000000,0.002520,0.000000,0.000000,0.000000,0
cNDir,0.000000,0.000000,0.000000,0.000000,0.000700,0.000000,0.000000,0
bNDir,0.000000,0.000000,0.000000,0.000000,0.000000,0.000331,0.000000,0
mFrag,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,98.986486,1000
